"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2009-2010","SA","Ash","Ash","Type","Total","Recycling","Recycling",170000,"08 Total"
"2009-2010","SA","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",134637,"03 C&I core"
"2009-2010","SA","Biosolids","Biosolids","Type","Total","Recycling","Recycling",134637,"08 Total"
"2009-2010","SA","Glass","Glass","Type","C&D","Landfill","Disposal",324,"02 C&D"
"2009-2010","SA","Glass","Glass","Type","C&I","Landfill","Disposal",1976,"03 C&I core"
"2009-2010","SA","Glass","Glass","Type","MSW","Landfill","Disposal",12338,"01 MSW"
"2009-2010","SA","Glass","Glass","Type","Total","Landfill","Disposal",14637,"08 Total"
"2009-2010","SA","Glass","Glass","Type","Total","Recycling","Recycling",57000,"08 Total"
"2009-2010","SA","Hazardous","Acids","Type","C&I","Treatment","Unknown",5261,"03 C&I core"
"2009-2010","SA","Hazardous","Acids","Type","Total","Treatment","Unknown",5261,"08 Total"
"2009-2010","SA","Hazardous","Alkalis","Type","C&I","Landfill","Disposal",40526,"03 C&I core"
"2009-2010","SA","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",8775,"03 C&I core"
"2009-2010","SA","Hazardous","Alkalis","Type","Total","Landfill","Disposal",40526,"08 Total"
"2009-2010","SA","Hazardous","Alkalis","Type","Total","Treatment","Unknown",8775,"08 Total"
"2009-2010","SA","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",3156,"02 C&D"
"2009-2010","SA","Hazardous","Asbestos","Type","C&D","Treatment","Unknown",39,"02 C&D"
"2009-2010","SA","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",2688,"03 C&I core"
"2009-2010","SA","Hazardous","Asbestos","Type","C&I","Treatment","Unknown",33,"03 C&I core"
"2009-2010","SA","Hazardous","Asbestos","Type","Total","Landfill","Disposal",5844,"08 Total"
"2009-2010","SA","Hazardous","Asbestos","Type","Total","Treatment","Unknown",72,"08 Total"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",13797,"03 C&I core"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","C&I","Recycling","Recycling",14,"03 C&I core"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",1701,"03 C&I core"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",13797,"08 Total"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","Total","Recycling","Recycling",14,"08 Total"
"2009-2010","SA","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",1701,"08 Total"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",18506,"02 C&D"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",4396,"02 C&D"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",17754,"02 C&D"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",7197,"03 C&I core"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",1709,"03 C&I core"
"2009-2010","SA","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",6904,"03 C&I core"
"2009-2010","SA","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",25703,"08 Total"
"2009-2010","SA","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",6105,"08 Total"
"2009-2010","SA","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",24659,"08 Total"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",3,"03 C&I core"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",33605,"03 C&I core"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",3800,"03 C&I core"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",3,"08 Total"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",33605,"08 Total"
"2009-2010","SA","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",3800,"08 Total"
"2009-2010","SA","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",8272,"03 C&I core"
"2009-2010","SA","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",928,"03 C&I core"
"2009-2010","SA","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",8272,"08 Total"
"2009-2010","SA","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",928,"08 Total"
"2009-2010","SA","Hazardous","Oils","Type","C&I","Landfill","Disposal",6,"03 C&I core"
"2009-2010","SA","Hazardous","Oils","Type","C&I","Other disposal","Disposal",3,"03 C&I core"
"2009-2010","SA","Hazardous","Oils","Type","C&I","Recycling","Recycling",4929,"03 C&I core"
"2009-2010","SA","Hazardous","Oils","Type","C&I","Treatment","Unknown",2593,"03 C&I core"
"2009-2010","SA","Hazardous","Oils","Type","Total","Landfill","Disposal",6,"08 Total"
"2009-2010","SA","Hazardous","Oils","Type","Total","Other disposal","Disposal",3,"08 Total"
"2009-2010","SA","Hazardous","Oils","Type","Total","Recycling","Recycling",4929,"08 Total"
"2009-2010","SA","Hazardous","Oils","Type","Total","Treatment","Unknown",2593,"08 Total"
"2009-2010","SA","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",1,"03 C&I core"
"2009-2010","SA","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",156,"03 C&I core"
"2009-2010","SA","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",1,"08 Total"
"2009-2010","SA","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",156,"08 Total"
"2009-2010","SA","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",1262,"03 C&I core"
"2009-2010","SA","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",2225,"03 C&I core"
"2009-2010","SA","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",1262,"08 Total"
"2009-2010","SA","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",2225,"08 Total"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","C&I","Landfill","Disposal",172,"03 C&I core"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",106,"03 C&I core"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",717,"03 C&I core"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","Total","Landfill","Disposal",172,"08 Total"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",106,"08 Total"
"2009-2010","SA","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",717,"08 Total"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",5838,"03 C&I core"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",912,"03 C&I core"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",294,"03 C&I core"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",5838,"08 Total"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",912,"08 Total"
"2009-2010","SA","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",294,"08 Total"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Landfill","Disposal",221,"03 C&I core"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",844,"03 C&I core"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",2838,"03 C&I core"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Landfill","Disposal",221,"08 Total"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Other disposal","Disposal",1,"08 Total"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",844,"08 Total"
"2009-2010","SA","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",2838,"08 Total"
"2009-2010","SA","Hazardous","Pesticides","Type","C&I","Landfill","Disposal",462,"03 C&I core"
"2009-2010","SA","Hazardous","Pesticides","Type","C&I","Treatment","Unknown",8,"03 C&I core"
"2009-2010","SA","Hazardous","Pesticides","Type","Total","Landfill","Disposal",462,"08 Total"
"2009-2010","SA","Hazardous","Pesticides","Type","Total","Treatment","Unknown",8,"08 Total"
"2009-2010","SA","Hazardous","Plating & heat treatment","Type","C&I","Treatment","Unknown",305,"03 C&I core"
"2009-2010","SA","Hazardous","Plating & heat treatment","Type","Total","Treatment","Unknown",305,"08 Total"
"2009-2010","SA","Hazardous","Reactive chemicals","Type","C&I","Treatment","Unknown",6,"03 C&I core"
"2009-2010","SA","Hazardous","Reactive chemicals","Type","Total","Treatment","Unknown",6,"08 Total"
"2009-2010","SA","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",16765,"03 C&I core"
"2009-2010","SA","Hazardous","Tyres","Type","C&I","Landfill","Disposal",10883,"03 C&I core"
"2009-2010","SA","Hazardous","Tyres","Type","C&I","Recycling","Recycling",1765,"03 C&I core"
"2009-2010","SA","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",16765,"08 Total"
"2009-2010","SA","Hazardous","Tyres","Type","Total","Landfill","Disposal",10883,"08 Total"
"2009-2010","SA","Hazardous","Tyres","Type","Total","Recycling","Recycling",1765,"08 Total"
"2009-2010","SA","Masonry materials","Asphalt","Type","Total","Recycling","Recycling",131000,"08 Total"
"2009-2010","SA","Masonry materials","Bricks","Type","Total","Recycling","Recycling",77000,"08 Total"
"2009-2010","SA","Masonry materials","Concrete","Type","Total","Recycling","Recycling",790000,"08 Total"
"2009-2010","SA","Masonry materials","Rubble (incl. non-haz. foundry sands)","Type","Total","Recycling","Recycling",11900,"08 Total"
"2009-2010","SA","Metals","Aluminium","Type","Total","Recycling","Recycling",18200,"08 Total"
"2009-2010","SA","Metals","Non-ferrous metals (excl. aluminium)","Type","Total","Recycling","Recycling",23600,"08 Total"
"2009-2010","SA","Metals","Steel","Type","Total","Recycling","Recycling",334000,"08 Total"
"2009-2010","SA","Organics","Food organics","Type","C&I","Landfill","Disposal",40572,"03 C&I core"
"2009-2010","SA","Organics","Food organics","Type","C&I","Landfill","Energy recovery",16398,"03 C&I core"
"2009-2010","SA","Organics","Food organics","Type","MSW","Landfill","Disposal",110695,"01 MSW"
"2009-2010","SA","Organics","Food organics","Type","MSW","Landfill","Energy recovery",44740,"01 MSW"
"2009-2010","SA","Organics","Food organics","Type","Total","Landfill","Disposal",151267,"08 Total"
"2009-2010","SA","Organics","Food organics","Type","Total","Landfill","Energy recovery",61138,"08 Total"
"2009-2010","SA","Organics","Food organics","Type","Total","Recycling","Recycling",5800,"08 Total"
"2009-2010","SA","Organics","Garden organics","Type","C&D","Landfill","Disposal",6852,"02 C&D"
"2009-2010","SA","Organics","Garden organics","Type","C&D","Landfill","Energy recovery",600,"02 C&D"
"2009-2010","SA","Organics","Garden organics","Type","C&I","Landfill","Disposal",7511,"03 C&I core"
"2009-2010","SA","Organics","Garden organics","Type","C&I","Landfill","Energy recovery",658,"03 C&I core"
"2009-2010","SA","Organics","Garden organics","Type","MSW","Landfill","Disposal",22954,"01 MSW"
"2009-2010","SA","Organics","Garden organics","Type","MSW","Landfill","Energy recovery",2010,"01 MSW"
"2009-2010","SA","Organics","Garden organics","Type","Total","Landfill","Disposal",37317,"08 Total"
"2009-2010","SA","Organics","Garden organics","Type","Total","Landfill","Energy recovery",3268,"08 Total"
"2009-2010","SA","Organics","Garden organics","Type","Total","Recycling","Recycling",220000,"08 Total"
"2009-2010","SA","Organics","Other organics","Type","C&D","Landfill","Disposal",256,"02 C&D"
"2009-2010","SA","Organics","Other organics","Type","C&D","Landfill","Energy recovery",27,"02 C&D"
"2009-2010","SA","Organics","Other organics","Type","C&I","Landfill","Disposal",3106,"03 C&I core"
"2009-2010","SA","Organics","Other organics","Type","C&I","Landfill","Energy recovery",328,"03 C&I core"
"2009-2010","SA","Organics","Other organics","Type","MSW","Landfill","Disposal",17380,"01 MSW"
"2009-2010","SA","Organics","Other organics","Type","MSW","Landfill","Energy recovery",1838,"01 MSW"
"2009-2010","SA","Organics","Other organics","Type","Total","Landfill","Disposal",20743,"08 Total"
"2009-2010","SA","Organics","Other organics","Type","Total","Landfill","Energy recovery",2193,"08 Total"
"2009-2010","SA","Organics","Other organics","Type","Total","Recycling","Recycling",142900,"08 Total"
"2009-2010","SA","Organics","Timber","Type","C&D","Landfill","Disposal",25799,"02 C&D"
"2009-2010","SA","Organics","Timber","Type","C&D","Landfill","Energy recovery",5263,"02 C&D"
"2009-2010","SA","Organics","Timber","Type","C&I","Energy from waste facility","Energy recovery",33000,"03 C&I core"
"2009-2010","SA","Organics","Timber","Type","C&I","Landfill","Disposal",11737,"03 C&I core"
"2009-2010","SA","Organics","Timber","Type","C&I","Landfill","Energy recovery",2395,"03 C&I core"
"2009-2010","SA","Organics","Timber","Type","MSW","Landfill","Disposal",4258,"01 MSW"
"2009-2010","SA","Organics","Timber","Type","MSW","Landfill","Energy recovery",869,"01 MSW"
"2009-2010","SA","Organics","Timber","Type","Total","Energy from waste facility","Energy recovery",33000,"08 Total"
"2009-2010","SA","Organics","Timber","Type","Total","Landfill","Disposal",41793,"08 Total"
"2009-2010","SA","Organics","Timber","Type","Total","Landfill","Energy recovery",8527,"08 Total"
"2009-2010","SA","Organics","Timber","Type","Total","Recycling","Recycling",262000,"08 Total"
"2009-2010","SA","Paper & cardboard","Cardboard","Type","Total","Recycling","Recycling",162000,"08 Total"
"2009-2010","SA","Paper & cardboard","Liquid paperboard","Type","Total","Recycling","Recycling",3900,"08 Total"
"2009-2010","SA","Paper & cardboard","Newsprint & magazines","Type","Total","Recycling","Recycling",40000,"08 Total"
"2009-2010","SA","Paper & cardboard","Office paper","Type","Total","Recycling","Recycling",16400,"08 Total"
"2009-2010","SA","Plastics","High density polyethylene (HDPE)","Type","Total","Recycling","Recycling",4900,"08 Total"
"2009-2010","SA","Plastics","Low density polyethylene (LDPE)","Type","Total","Recycling","Recycling",4200,"08 Total"
"2009-2010","SA","Plastics","Other plastics","Type","Total","Recycling","Recycling",1600,"08 Total"
"2009-2010","SA","Plastics","Polyethylene terephthalate (PET)","Type","Total","Recycling","Recycling",5500,"08 Total"
"2009-2010","SA","Plastics","Polypropylene (PP)","Type","Total","Recycling","Recycling",4000,"08 Total"
"2009-2010","SA","Plastics","Polystyrene (PS)","Type","Total","Recycling","Recycling",200,"08 Total"
"2009-2010","SA","Plastics","Polyvinyl chloride (PVC)","Type","Total","Recycling","Recycling",80,"08 Total"
"2009-2010","SA","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","Total","Recycling","Recycling",3780,"08 Total"
"2009-2010","SA","Textiles, leather & rubber (excl. tyres)","Textiles","Type","Total","Recycling","Recycling",3120,"08 Total"
"2009-2010","Tas","Biosolids","Biosolids","Type","C&I","Other disposal","Disposal",306,"03 C&I core"
"2009-2010","Tas","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",15619,"03 C&I core"
"2009-2010","Tas","Biosolids","Biosolids","Type","Total","Other disposal","Disposal",306,"08 Total"
"2009-2010","Tas","Biosolids","Biosolids","Type","Total","Recycling","Recycling",15619,"08 Total"
"2009-2010","Tas","Glass","Glass","Type","C&D","Landfill","Disposal",89,"02 C&D"
"2009-2010","Tas","Glass","Glass","Type","C&I","Landfill","Disposal",4443,"03 C&I core"
"2009-2010","Tas","Glass","Glass","Type","C&I","Recycling","Recycling",1744,"03 C&I core"
"2009-2010","Tas","Glass","Glass","Type","MSW","Landfill","Disposal",8171,"01 MSW"
"2009-2010","Tas","Glass","Glass","Type","MSW","Recycling","Recycling",8810,"01 MSW"
"2009-2010","Tas","Glass","Glass","Type","Total","Landfill","Disposal",12704,"08 Total"
"2009-2010","Tas","Glass","Glass","Type","Total","Recycling","Recycling",10554,"08 Total"
"2009-2010","Tas","Hazardous","Acids","Type","C&I","Recycling","Recycling",1,"03 C&I core"
"2009-2010","Tas","Hazardous","Acids","Type","C&I","Treatment","Unknown",4,"03 C&I core"
"2009-2010","Tas","Hazardous","Acids","Type","Total","Recycling","Recycling",1,"08 Total"
"2009-2010","Tas","Hazardous","Acids","Type","Total","Treatment","Unknown",4,"08 Total"
"2009-2010","Tas","Hazardous","Alkalis","Type","C&I","Landfill","Disposal",3,"03 C&I core"
"2009-2010","Tas","Hazardous","Alkalis","Type","C&I","Recycling","Recycling",6,"03 C&I core"
"2009-2010","Tas","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",1,"03 C&I core"
"2009-2010","Tas","Hazardous","Alkalis","Type","Total","Landfill","Disposal",3,"08 Total"
"2009-2010","Tas","Hazardous","Alkalis","Type","Total","Recycling","Recycling",6,"08 Total"
"2009-2010","Tas","Hazardous","Alkalis","Type","Total","Treatment","Unknown",1,"08 Total"
"2009-2010","Tas","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",179,"02 C&D"
"2009-2010","Tas","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",152,"03 C&I core"
"2009-2010","Tas","Hazardous","Asbestos","Type","Total","Landfill","Disposal",331,"08 Total"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Landfill","Disposal",5,"03 C&I core"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",18,"03 C&I core"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",14,"03 C&I core"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Landfill","Disposal",5,"08 Total"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",18,"08 Total"
"2009-2010","Tas","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",14,"08 Total"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",3454,"02 C&D"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",179,"02 C&D"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",358,"02 C&D"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",1343,"03 C&I core"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",69,"03 C&I core"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",139,"03 C&I core"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",4798,"08 Total"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",248,"08 Total"
"2009-2010","Tas","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",498,"08 Total"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",123,"03 C&I core"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",9119,"03 C&I core"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",2500,"03 C&I core"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",123,"08 Total"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Other disposal","Disposal",1,"08 Total"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",9119,"08 Total"
"2009-2010","Tas","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",2500,"08 Total"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",22879,"03 C&I core"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","C&I","Other disposal","Disposal",5,"03 C&I core"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",175973,"03 C&I core"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",47294,"03 C&I core"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",22879,"08 Total"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","Total","Other disposal","Disposal",5,"08 Total"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",175973,"08 Total"
"2009-2010","Tas","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",47294,"08 Total"
"2009-2010","Tas","Hazardous","Oils","Type","C&I","Landfill","Disposal",1,"03 C&I core"
"2009-2010","Tas","Hazardous","Oils","Type","C&I","Recycling","Recycling",177,"03 C&I core"
"2009-2010","Tas","Hazardous","Oils","Type","C&I","Treatment","Unknown",41,"03 C&I core"
"2009-2010","Tas","Hazardous","Oils","Type","Total","Landfill","Disposal",1,"08 Total"
"2009-2010","Tas","Hazardous","Oils","Type","Total","Recycling","Recycling",177,"08 Total"
"2009-2010","Tas","Hazardous","Oils","Type","Total","Treatment","Unknown",41,"08 Total"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","C&I","Landfill","Disposal",3,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",7,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",25,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","Total","Landfill","Disposal",3,"08 Total"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",7,"08 Total"
"2009-2010","Tas","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",25,"08 Total"
"2009-2010","Tas","Hazardous","Organic solvents","Type","C&I","Landfill","Disposal",1,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic solvents","Type","C&I","Other disposal","Disposal",3,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",227,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",223,"03 C&I core"
"2009-2010","Tas","Hazardous","Organic solvents","Type","Total","Landfill","Disposal",1,"08 Total"
"2009-2010","Tas","Hazardous","Organic solvents","Type","Total","Other disposal","Disposal",3,"08 Total"
"2009-2010","Tas","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",227,"08 Total"
"2009-2010","Tas","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",223,"08 Total"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","C&I","Landfill","Disposal",3,"03 C&I core"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",6,"03 C&I core"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",25,"03 C&I core"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","Total","Landfill","Disposal",3,"08 Total"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",6,"08 Total"
"2009-2010","Tas","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",25,"08 Total"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",173,"03 C&I core"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",122,"03 C&I core"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",98,"03 C&I core"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",173,"08 Total"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",122,"08 Total"
"2009-2010","Tas","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",98,"08 Total"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Landfill","Disposal",17,"03 C&I core"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",7,"03 C&I core"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",7,"03 C&I core"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Landfill","Disposal",17,"08 Total"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",7,"08 Total"
"2009-2010","Tas","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",7,"08 Total"
"2009-2010","Tas","Hazardous","Pesticides","Type","C&I","Landfill","Disposal",5,"03 C&I core"
"2009-2010","Tas","Hazardous","Pesticides","Type","C&I","Recycling","Recycling",20,"03 C&I core"
"2009-2010","Tas","Hazardous","Pesticides","Type","C&I","Treatment","Unknown",11,"03 C&I core"
"2009-2010","Tas","Hazardous","Pesticides","Type","Total","Landfill","Disposal",5,"08 Total"
"2009-2010","Tas","Hazardous","Pesticides","Type","Total","Recycling","Recycling",20,"08 Total"
"2009-2010","Tas","Hazardous","Pesticides","Type","Total","Treatment","Unknown",11,"08 Total"
"2009-2010","Tas","Hazardous","Reactive chemicals","Type","C&I","Treatment","Unknown",7,"03 C&I core"
"2009-2010","Tas","Hazardous","Reactive chemicals","Type","Total","Treatment","Unknown",7,"08 Total"
"2009-2010","Tas","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",2777,"03 C&I core"
"2009-2010","Tas","Hazardous","Tyres","Type","C&I","Landfill","Disposal",6092,"03 C&I core"
"2009-2010","Tas","Hazardous","Tyres","Type","C&I","Recycling","Recycling",1048,"03 C&I core"
"2009-2010","Tas","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",2777,"08 Total"
"2009-2010","Tas","Hazardous","Tyres","Type","Total","Landfill","Disposal",6092,"08 Total"
"2009-2010","Tas","Hazardous","Tyres","Type","Total","Recycling","Recycling",1048,"08 Total"
"2009-2010","Tas","Metals","Aluminium","Type","C&I","Recycling","Recycling",946,"03 C&I core"
"2009-2010","Tas","Metals","Aluminium","Type","MSW","Recycling","Recycling",348,"01 MSW"
"2009-2010","Tas","Metals","Aluminium","Type","Total","Recycling","Recycling",1294,"08 Total"
"2009-2010","Tas","Metals","Steel","Type","C&I","Recycling","Recycling",8427,"03 C&I core"
"2009-2010","Tas","Metals","Steel","Type","MSW","Recycling","Recycling",914,"01 MSW"
"2009-2010","Tas","Metals","Steel","Type","Total","Recycling","Recycling",9341,"08 Total"
"2009-2010","Tas","Organics","Food organics","Type","C&I","Landfill","Disposal",32827,"03 C&I core"
"2009-2010","Tas","Organics","Food organics","Type","C&I","Landfill","Energy recovery",10876,"03 C&I core"
"2009-2010","Tas","Organics","Food organics","Type","MSW","Landfill","Disposal",41799,"01 MSW"
"2009-2010","Tas","Organics","Food organics","Type","MSW","Landfill","Energy recovery",13849,"01 MSW"
"2009-2010","Tas","Organics","Food organics","Type","Total","Landfill","Disposal",74626,"08 Total"
"2009-2010","Tas","Organics","Food organics","Type","Total","Landfill","Energy recovery",24725,"08 Total"
"2009-2010","Tas","Organics","Garden organics","Type","C&D","Landfill","Disposal",508,"02 C&D"
"2009-2010","Tas","Organics","Garden organics","Type","C&D","Landfill","Energy recovery",44,"02 C&D"
