"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","NSW","Hazardous","Oils","Type","C&I","Landfill","Disposal",5,"03 C&I core"
"2018-2019","NSW","Hazardous","Oils","Type","C&I","Recycling","Recycling",12143,"03 C&I core"
"2018-2019","NSW","Hazardous","Oils","Type","C&I","Treatment","Unknown",201042,"03 C&I core"
"2018-2019","NSW","Hazardous","Oils","Type","Total","Landfill","Disposal",5,"08 Total"
"2018-2019","NSW","Hazardous","Oils","Type","Total","Recycling","Recycling",12143,"08 Total"
"2018-2019","NSW","Hazardous","Oils","Type","Total","Treatment","Unknown",201042,"08 Total"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","C&I","Landfill","Disposal",166,"03 C&I core"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",615,"03 C&I core"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",8820,"03 C&I core"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","Total","Landfill","Disposal",166,"08 Total"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",615,"08 Total"
"2018-2019","NSW","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",8820,"08 Total"
"2018-2019","NSW","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",139,"03 C&I core"
"2018-2019","NSW","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",925,"03 C&I core"
"2018-2019","NSW","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",139,"08 Total"
"2018-2019","NSW","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",925,"08 Total"
"2018-2019","NSW","Hazardous","Other","Type","C&I","Treatment","Unknown",12834,"03 C&I core"
"2018-2019","NSW","Hazardous","Other","Type","Total","Treatment","Unknown",12834,"08 Total"
"2018-2019","NSW","Hazardous","Other hazardous organic wastes","Type","C&I","Recycling","Recycling",4,"03 C&I core"
"2018-2019","NSW","Hazardous","Other hazardous organic wastes","Type","C&I","Treatment","Unknown",436,"03 C&I core"
"2018-2019","NSW","Hazardous","Other hazardous organic wastes","Type","Total","Recycling","Recycling",4,"08 Total"
"2018-2019","NSW","Hazardous","Other hazardous organic wastes","Type","Total","Treatment","Unknown",436,"08 Total"
"2018-2019","NSW","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",3,"03 C&I core"
"2018-2019","NSW","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",4315,"03 C&I core"
"2018-2019","NSW","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",3,"08 Total"
"2018-2019","NSW","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",4315,"08 Total"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",61831,"03 C&I core"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",8623,"03 C&I core"
