,Year,Jurisdiction,Category,Type,Stream,Management,Fate,Tonnes
278,2018,NSW,Metals,Aluminium,C&I,Recycling,Recycling,44639
279,2018,NSW,Metals,Aluminium,MSW,Recycling,Recycling,23234
280,2018,NSW,Metals,Aluminium,Total,Recycling,Recycling,114340
281,2018,NSW,Metals,Non-ferrous metals (excl. aluminium),C&D,Recycling,Recycling,38962
282,2018,NSW,Metals,Non-ferrous metals (excl. aluminium),C&I,Recycling,Recycling,38962
283,2018,NSW,Metals,Non-ferrous metals (excl. aluminium),MSW,Recycling,Recycling,19481
284,2018,NSW,Metals,Non-ferrous metals (excl. aluminium),Total,Recycling,Recycling,97405
285,2018,NSW,Metals,Steel,C&D,Recycling,Recycling,547471
286,2018,NSW,Metals,Steel,C&I,Recycling,Recycling,378879
287,2018,NSW,Metals,Steel,MSW,Recycling,Recycling,281458
288,2018,NSW,Metals,Steel,Total,Recycling,Recycling,1207808
289,2018,NSW,Organics,Food organics,C&D,Landfill,Disposal,1
290,2018,NSW,Organics,Food organics,C&I,Energy from waste facility,Energy recovery,43968
291,2018,NSW,Organics,Food organics,C&I,Landfill,Disposal,139664
292,2018,NSW,Organics,Food organics,C&I,Landfill,Energy recovery,48315
293,2018,NSW,Organics,Food organics,C&I,Recycling,Recycling,6892
294,2018,NSW,Organics,Food organics,MSW,Landfill,Disposal,495375
295,2018,NSW,Organics,Food organics,MSW,Landfill,Energy recovery,171369
296,2018,NSW,Organics,Food organics,MSW,Recycling,Recycling,376398
297,2018,NSW,Organics,Food organics,Total,Energy from waste facility,Energy recovery,43968
298,2018,NSW,Organics,Food organics,Total,Landfill,Disposal,635040
299,2018,NSW,Organics,Food organics,Total,Landfill,Energy recovery,219684
300,2018,NSW,Organics,Food organics,Total,Recycling,Recycling,383290
301,2018,NSW,Organics,Garden organics,C&D,Landfill,Disposal,7821
302,2018,NSW,Organics,Garden organics,C&D,Landfill,Energy recovery,1314
303,2018,NSW,Organics,Garden organics,C&D,Recycling,Recycling,65749
304,2018,NSW,Organics,Garden organics,C&I,Landfill,Disposal,90842
305,2018,NSW,Organics,Garden organics,C&I,Landfill,Energy recovery,15259
306,2018,NSW,Organics,Garden organics,C&I,Recycling,Recycling,266085
307,2018,NSW,Organics,Garden organics,MSW,Landfill,Disposal,271925
308,2018,NSW,Organics,Garden organics,MSW,Landfill,Energy recovery,45675
309,2018,NSW,Organics,Garden organics,MSW,Recycling,Recycling,536660
310,2018,NSW,Organics,Garden organics,Total,Landfill,Disposal,370588
311,2018,NSW,Organics,Garden organics,Total,Landfill,Energy recovery,62247
312,2018,NSW,Organics,Garden organics,Total,Recycling,Recycling,868494
